Unidad territorial, Variable, 2020
General Lagos (Región de Arica y Parinacota),  Tasa de Mortalidad General Total (Por mil Habitantes), 1.2345679012345678
General Lagos (Región de Arica y Parinacota),  Tasa de Mortalidad General Hombre (Por mil Hombres), 2.3094688221709005
General Lagos (Región de Arica y Parinacota),  Tasa de Mortalidad General Mujer (Por mil Mujeres), -
General Lagos (Región de Arica y Parinacota),  Tasa de Mortalidad Infantil, menores de 1 año. (Por Mil nacidos vivos), -
General Lagos (Región de Arica y Parinacota),  Tasa de Mortalidad Neonatal, menores de 28 dias. (Por Mil nacidos vivos), -
General Lagos (Región de Arica y Parinacota),  Tasa de Mortalidad Neonatal Precoz, menores de 7 dias. (Por Mil nacidos vivos), -
General Lagos (Región de Arica y Parinacota),  Tasa de Mortalidad Postneonatal, de 28 dias a 11 meses. (Por Mil nacidos vivos), -
Putre (Región de Arica y Parinacota),  Tasa de Mortalidad General Total (Por mil Habitantes), 1.9880715705765406
Putre (Región de Arica y Parinacota),  Tasa de Mortalidad General Hombre (Por mil Hombres), 2.0590253946465342
Putre (Región de Arica y Parinacota),  Tasa de Mortalidad General Mujer (Por mil Mujeres), 1.890359168241966
Putre (Región de Arica y Parinacota),  Tasa de Mortalidad Infantil, menores de 1 año. (Por Mil nacidos vivos), -
Putre (Región de Arica y Parinacota),  Tasa de Mortalidad Neonatal, menores de 28 dias. (Por Mil nacidos vivos), -
Putre (Región de Arica y Parinacota),  Tasa de Mortalidad Neonatal Precoz, menores de 7 dias. (Por Mil nacidos vivos), -
Putre (Región de Arica y Parinacota),  Tasa de Mortalidad Postneonatal, de 28 dias a 11 meses. (Por Mil nacidos vivos), -
Arica (Región de Arica y Parinacota),  Tasa de Mortalidad General Total (Por mil Habitantes), 6.608712512926577
Arica (Región de Arica y Parinacota),  Tasa de Mortalidad General Hombre (Por mil Hombres), 7.5511189824504905
Arica (Región de Arica y Parinacota),  Tasa de Mortalidad General Mujer (Por mil Mujeres), 5.659520643466416
Arica (Región de Arica y Parinacota),  Tasa de Mortalidad Infantil, menores de 1 año. (Por Mil nacidos vivos), 5.93
Arica (Región de Arica y Parinacota),  Tasa de Mortalidad Neonatal, menores de 28 dias. (Por Mil nacidos vivos), 5.23
Arica (Región de Arica y Parinacota),  Tasa de Mortalidad Neonatal Precoz, menores de 7 dias. (Por Mil nacidos vivos), 3.49
Arica (Región de Arica y Parinacota),  Tasa de Mortalidad Postneonatal, de 28 dias a 11 meses. (Por Mil nacidos vivos), 0.7
Camarones (Región de Arica y Parinacota),  Tasa de Mortalidad General Total (Por mil Habitantes), 0.8110300081103001
Camarones (Región de Arica y Parinacota),  Tasa de Mortalidad General Hombre (Por mil Hombres), 1.5772870662460567
Camarones (Región de Arica y Parinacota),  Tasa de Mortalidad General Mujer (Por mil Mujeres), -
Camarones (Región de Arica y Parinacota),  Tasa de Mortalidad Infantil, menores de 1 año. (Por Mil nacidos vivos), -
Camarones (Región de Arica y Parinacota),  Tasa de Mortalidad Neonatal, menores de 28 dias. (Por Mil nacidos vivos), -
Camarones (Región de Arica y Parinacota),  Tasa de Mortalidad Neonatal Precoz, menores de 7 dias. (Por Mil nacidos vivos), -
Camarones (Región de Arica y Parinacota),  Tasa de Mortalidad Postneonatal, de 28 dias a 11 meses. (Por Mil nacidos vivos), -
Colchane,  Tasa de Mortalidad General Total (Por mil Habitantes), 2.526847757422615
Colchane,  Tasa de Mortalidad General Hombre (Por mil Hombres), 2.4213075060532687
Colchane,  Tasa de Mortalidad General Mujer (Por mil Mujeres), 2.642007926023778
Colchane,  Tasa de Mortalidad Infantil, menores de 1 año. (Por Mil nacidos vivos), -
Colchane,  Tasa de Mortalidad Neonatal, menores de 28 dias. (Por Mil nacidos vivos), -
Colchane,  Tasa de Mortalidad Neonatal Precoz, menores de 7 dias. (Por Mil nacidos vivos), -
Colchane,  Tasa de Mortalidad Postneonatal, de 28 dias a 11 meses. (Por Mil nacidos vivos), -
Camiña,  Tasa de Mortalidad General Total (Por mil Habitantes), 4.363636363636364
Camiña,  Tasa de Mortalidad General Hombre (Por mil Hombres), 5.673758865248227
Camiña,  Tasa de Mortalidad General Mujer (Por mil Mujeres), 2.985074626865672
Camiña,  Tasa de Mortalidad Infantil, menores de 1 año. (Por Mil nacidos vivos), -
Camiña,  Tasa de Mortalidad Neonatal, menores de 28 dias. (Por Mil nacidos vivos), -
Camiña,  Tasa de Mortalidad Neonatal Precoz, menores de 7 dias. (Por Mil nacidos vivos), -
Camiña,  Tasa de Mortalidad Postneonatal, de 28 dias a 11 meses. (Por Mil nacidos vivos), -
Huara,  Tasa de Mortalidad General Total (Por mil Habitantes), 5.0
Huara,  Tasa de Mortalidad General Hombre (Por mil Hombres), 5.131494547787042
Huara,  Tasa de Mortalidad General Mujer (Por mil Mujeres), 4.857737682165163
