Unidad territorial, Variable, 2022
General Lagos (Región de Arica y Parinacota), Retirados Hombres, 1.0
General Lagos (Región de Arica y Parinacota), Retirados Mujeres, 0.0
General Lagos (Región de Arica y Parinacota), Retirados sin información de sexo , -
General Lagos (Región de Arica y Parinacota), Retirados Total, 1.0
General Lagos (Región de Arica y Parinacota), Aprobados Hombres, 32.0
General Lagos (Región de Arica y Parinacota), Aprobados Mujeres, 30.0
General Lagos (Región de Arica y Parinacota), Aprobados sin información de sexo, 0.0
General Lagos (Región de Arica y Parinacota), Aprobados Total, 62.0
General Lagos (Región de Arica y Parinacota), Reprobados Hombres, 0.0
General Lagos (Región de Arica y Parinacota), Reprobados Mujeres, 0.0
General Lagos (Región de Arica y Parinacota), Reprobados Total, 0.0
General Lagos (Región de Arica y Parinacota), Traslados Hombres, 2.0
General Lagos (Región de Arica y Parinacota), Traslados Mujeres, 4.0
General Lagos (Región de Arica y Parinacota), Traslados sin información de sexo, 0.0
General Lagos (Región de Arica y Parinacota), Traslados Total, 6.0
General Lagos (Región de Arica y Parinacota), Sin información de su situación final Hombres, 0.0
General Lagos (Región de Arica y Parinacota), Sin información de su situación final Mujeres, 0.0
General Lagos (Región de Arica y Parinacota), Sin información de su situación final Total, 0.0
Putre (Región de Arica y Parinacota), Retirados Hombres, 3.0
Putre (Región de Arica y Parinacota), Retirados Mujeres, 3.0
Putre (Región de Arica y Parinacota), Retirados sin información de sexo , -
Putre (Región de Arica y Parinacota), Retirados Total, 6.0
Putre (Región de Arica y Parinacota), Aprobados Hombres, 135.0
Putre (Región de Arica y Parinacota), Aprobados Mujeres, 106.0
Putre (Región de Arica y Parinacota), Aprobados sin información de sexo, 0.0
Putre (Región de Arica y Parinacota), Aprobados Total, 241.0
Putre (Región de Arica y Parinacota), Reprobados Hombres, 1.0
Putre (Región de Arica y Parinacota), Reprobados Mujeres, 0.0
Putre (Región de Arica y Parinacota), Reprobados Total, 1.0
Putre (Región de Arica y Parinacota), Traslados Hombres, 7.0
Putre (Región de Arica y Parinacota), Traslados Mujeres, 9.0
Putre (Región de Arica y Parinacota), Traslados sin información de sexo, 0.0
Putre (Región de Arica y Parinacota), Traslados Total, 16.0
Putre (Región de Arica y Parinacota), Sin información de su situación final Hombres, 0.0
Putre (Región de Arica y Parinacota), Sin información de su situación final Mujeres, 0.0
Putre (Región de Arica y Parinacota), Sin información de su situación final Total, 0.0
Arica (Región de Arica y Parinacota), Retirados Hombres, 1032.0
Arica (Región de Arica y Parinacota), Retirados Mujeres, 825.0
Arica (Región de Arica y Parinacota), Retirados sin información de sexo , -
Arica (Región de Arica y Parinacota), Retirados Total, 1857.0
Arica (Región de Arica y Parinacota), Aprobados Hombres, 22881.0
Arica (Región de Arica y Parinacota), Aprobados Mujeres, 21193.0
Arica (Región de Arica y Parinacota), Aprobados sin información de sexo, 0.0
Arica (Región de Arica y Parinacota), Aprobados Total, 44074.0
Arica (Región de Arica y Parinacota), Reprobados Hombres, 608.0
Arica (Región de Arica y Parinacota), Reprobados Mujeres, 321.0
Arica (Región de Arica y Parinacota), Reprobados Total, 929.0
Arica (Región de Arica y Parinacota), Traslados Hombres, 1587.0
Arica (Región de Arica y Parinacota), Traslados Mujeres, 1673.0
Arica (Región de Arica y Parinacota), Traslados sin información de sexo, 0.0
Arica (Región de Arica y Parinacota), Traslados Total, 3260.0
Arica (Región de Arica y Parinacota), Sin información de su situación final Hombres, 0.0
Arica (Región de Arica y Parinacota), Sin información de su situación final Mujeres, 0.0
Arica (Región de Arica y Parinacota), Sin información de su situación final Total, 0.0
Camarones (Región de Arica y Parinacota), Retirados Hombres, 5.0
Camarones (Región de Arica y Parinacota), Retirados Mujeres, 4.0
Camarones (Región de Arica y Parinacota), Retirados sin información de sexo , -
Camarones (Región de Arica y Parinacota), Retirados Total, 9.0
Camarones (Región de Arica y Parinacota), Aprobados Hombres, 65.0
Camarones (Región de Arica y Parinacota), Aprobados Mujeres, 49.0
Camarones (Región de Arica y Parinacota), Aprobados sin información de sexo, 0.0
Camarones (Región de Arica y Parinacota), Aprobados Total, 114.0
Camarones (Región de Arica y Parinacota), Reprobados Hombres, 0.0
Camarones (Región de Arica y Parinacota), Reprobados Mujeres, 0.0
Camarones (Región de Arica y Parinacota), Reprobados Total, 0.0
Camarones (Región de Arica y Parinacota), Traslados Hombres, 10.0
Camarones (Región de Arica y Parinacota), Traslados Mujeres, 8.0
Camarones (Región de Arica y Parinacota), Traslados sin información de sexo, 0.0
Camarones (Región de Arica y Parinacota), Traslados Total, 18.0
Camarones (Región de Arica y Parinacota), Sin información de su situación final Hombres, 0.0
